,loss,mse,val_loss,val_mse
57,0.31729817390441895,0.050770536065101624,0.2583891451358795,0.04099658504128456
58,0.30220654606819153,0.04916153475642204,0.2540513575077057,0.0398956798017025
59,0.3125516474246979,0.05046333000063896,0.25097063183784485,0.03842580318450928
60,0.30937010049819946,0.05041828751564026,0.25889384746551514,0.04023798927664757
61,0.30292820930480957,0.049748584628105164,0.2582625150680542,0.040558766573667526
62,0.31077954173088074,0.051661744713783264,0.271016389131546,0.04213511943817139
63,0.32174912095069885,0.05227115750312805,0.2553573250770569,0.03947386145591736
64,0.3124811053276062,0.051054276525974274,0.2752341330051422,0.04411684349179268
65,0.32177114486694336,0.05261411517858505,0.24869714677333832,0.03864255174994469
66,0.3058171570301056,0.050545789301395416,0.2488916665315628,0.03845617547631264
67,0.3128725290298462,0.05055811256170273,0.25719374418258667,0.04063335433602333
68,0.2986891567707062,0.05020284652709961,0.26861757040023804,0.041763827204704285
69,0.29488900303840637,0.04918370768427849,0.24806086719036102,0.03786514326930046
70,0.31414076685905457,0.05051169916987419,0.25996503233909607,0.0395951047539711
71,0.29173925518989563,0.049703679978847504,0.2569514214992523,0.03837555646896362
72,0.30659496784210205,0.05113116651773453,0.2824377417564392,0.04478723555803299
73,0.2988424301147461,0.048353832215070724,0.24972064793109894,0.03777976334095001
74,0.3010266125202179,0.048326339572668076,0.2612573206424713,0.03947412222623825
75,0.3003137409687042,0.049288518726825714,0.2684306204319,0.041447680443525314
76,0.3168345093727112,0.052119020372629166,0.2662869095802307,0.04143114387989044
77,0.3302416205406189,0.053237736225128174,0.2554185092449188,0.03890460729598999
78,0.31983470916748047,0.05187686160206795,0.2663574516773224,0.042761221528053284
79,0.30835795402526855,0.05012939125299454,0.260837197303772,0.04100225120782852
80,0.31398332118988037,0.05118967592716217,0.2671205699443817,0.04209459573030472
81,0.30069178342819214,0.04760857671499252,0.25670546293258667,0.04021604359149933
82,0.301992267370224,0.04887823387980461,0.2580314874649048,0.03905186057090759
83,0.3174777328968048,0.0524693988263607,0.2732245624065399,0.04332679882645607
84,0.3051167130470276,0.04896922782063484,0.24436989426612854,0.03836559131741524
85,0.2962898910045624,0.04836662486195564,0.2534826397895813,0.039038289338350296
86,0.28946754336357117,0.04880011826753616,0.2515825033187866,0.03989997133612633
87,0.30618736147880554,0.05074650049209595,0.26382407546043396,0.039433397352695465
88,0.3023611307144165,0.05315662547945976,0.29568225145339966,0.05056362599134445
89,0.29641833901405334,0.04874931648373604,0.23916396498680115,0.03590797632932663
90,0.29709187150001526,0.0489359050989151,0.2486511915922165,0.03804701566696167
91,0.2933155298233032,0.04912964627146721,0.26729071140289307,0.043105415999889374
92,0.28887927532196045,0.047593265771865845,0.25225019454956055,0.03824364393949509
93,0.278952956199646,0.047175243496894836,0.2595568001270294,0.039724186062812805
94,0.2910213768482208,0.04765334352850914,0.2657765746116638,0.04193996265530586
95,0.2914910912513733,0.048671141266822815,0.24846290051937103,0.036548860371112823
96,0.2923700511455536,0.04945972189307213,0.2600703537464142,0.041100237518548965
97,0.2986779808998108,0.04856192693114281,0.2510073781013489,0.0384800098836422
98,0.29860997200012207,0.048082415014505386,0.24383005499839783,0.03727150708436966
99,0.2989480793476105,0.05030316114425659,0.2583000063896179,0.040804069489240646
100,0.2959744334220886,0.04838136211037636,0.24720045924186707,0.039182811975479126
101,0.28562939167022705,0.047203585505485535,0.25398939847946167,0.040023352950811386
102,0.2914039194583893,0.04874575510621071,0.24577872455120087,0.03891868516802788
103,0.304926335811615,0.05065403878688812,0.28562864661216736,0.046497952193021774
104,0.2826000452041626,0.04715999588370323,0.2558506727218628,0.038481149822473526
